Name	Set	ImageFile	Rarity	Type	Color	Cost	Ability	Family	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5	Skill 6	Skill 7	Skill 8	Banned/Restricted
Skulldevil	BS01	Skulldevil2.jpg	Common	Spirit	Purple	1		Ogre Wizard									
Rib-Reaper	BS01	Rib-reaper2.jpg	Common	Spirit	Purple	2		Zombie									
Grip-Hands	BS01	Grip-hands2.jpg	Common	Spirit	Purple	3		Darkling	[LV1][LV2] (When Summoned) Draw one card.		 						
Death-Haides	BS01	Death-haides2.jpg	Common	Spirit	Purple	3		 Ogre Wizard									
Gawrm	BS01	Gawrm2.jpg	Common	Spirit	Purple	3		Zombie	[LV2] (When Destroyed) Move this spirit to your hand instead of your trash.								
Disaster	BS01	Disaster2.jpg	Common	Spirit	Purple	3		Darkling	[LV2][LV3] (During Your Battle Phase) This spirit must attack if possible.								
Bi-Python	BS01	Bi-python2.jpg	Uncommon	Spirit	Purple	3		Dark Snake	[LV1][LV2] (When Attacks) Draw 1 card.								
Bone-Gladiator	BS01	Bone-gladiator2.jpg	Common	Spirit	Purple	3		Ogre Wizard	[LV1][LV2][LV3] (When Attacks) This spirit cannot be blocked by green spirits this turn								
Sha-Zoo	BS01	Sha-zoo2.jpg	Common	Spirit	Purple	3		Spiritual Beast	[LV1][LV2] (When Destroyed) Exhaust 2 target unexhausted spirits.								
Illusiona	BS01	Illusiona2.jpg	Common	Spirit	Purple	4		Spiritual Beast	[LV2][LV3] (When Attacks) This spirit may attack target exhausted spirit your opponent controls.								
Skel-Viper	BS01	Skel-viper2.jpg	Common	Spirit	Purple	4		Dark Snake	[LV1][LV2] (When Summoned) Draw one card.								
The Mysteryman Dionaeman	BS01	Dionaeman2.jpg	Common	Spirit	Purple	4		Zombie									
Darkwitch	BS01	Darkwitch2.jpg	Rare	Spirit	Purple	4		Ogre Wizard	[LV2][LV3] (When Attacks) Destroy target exhausted spirit.								
Cobraiga	BS01	Cobraiga2.jpg	Common	Spirit	Purple	4		Dark Snake	[LV1][LV2] (When Summoned) Move all but one core from target spirit to its owner's reserve.								
Mistweasel	BS01	Mistweasel2.jpg	Common	Spirit	Purple	5		Spiritual Beast	[LV1][LV2] (When Destroyed) Draw 3 cards.								
Draculious	BS01	Draculious2.jpg	Rare	Spirit	Purple	5		Ogre Wizard									
The PhantomBull Smowg	BS01	Smowg2.jpg	Uncommon	Spirit	Purple	5		Spiritual Beast	[LV1][LV2][LV3] (When Attacks) This spirit may attack target spirit your opponent controls with only one core on it.								
The Ripper Headiless	BS01	Headiless2.jpg	Common	Spirit	Purple	5		Zombie	[LV1][LV2] (When Destroyed) Move this spirit to your hand instead of your trash.								
The PhantomDragon Sheyron	BS01	Sheyron2.jpg	Master Rare	Spirit	Purple	6		Nightling, Dark Snake	[LV1][LV2] (When Summoned) Move all but one core from all spirits to their owner's Reserve.	[LV2] (When Attacks) This spirit cannot be blocked by spirits with only one core on them this turn.							
The Witch Naja	BS01	Naja2.jpg	Rare	Spirit	Purple	6		Evil Deity	[LV1][LV2] (During the Battle Phase) Each time this spirit defeats a spirit, exhaust target unexhausted spirit your opponent controls.								
The PrincessVampire Vampiles	BS01	Vampiles2Princess.jpg	Uncommon	Spirit	Purple	6		Nightling	[LV1][LV2][LV3] (When Summoned) Destroy target exhausted spirit.								
The PhantomKnight Nightrider	BS01	300px-Nightrider3.jpg	Master Rare	Spirit	Purple	7		Mounted Warrior	[LV2][LV3] (When Attacks) Destroy target exhausted spirit.								
Beatbeetle	BS01	Beatbeetle2.jpg	Common	Spirit	Green	0		Shell Insect									
Flyingmirage	BS01	Flyingmirage2.jpg	Common	Spirit	Green	1		Shell Inscet									
Pelileaf	BS01	Pelileaf2.jpg	Common	Spirit	Green	2		Song Bird	[LV2] (Permanent) This spirit gets +2000 BP when you have a core in your reserve.								
Leavwolf	BS01	Leavwolf2.jpg	Common	Spirit	Green	2	High Speed (Swift)	Blade Beast	[LV1][LV2] High Speed (Flash) This spirit card may be summoned from your hand during the Flash Step. In that case, the cost of this spirit and the cores to be put on this spirit must be paid or moved from your reserve.								
Shockeater	BS01	Shockeater2.jpg	Common	Spirit	Green	2		Plant Spirit									
Emeant	BS01	Emeant2.jpg	Common	Spirit	Green	2		Parasite	[LV1][LV2] (When Destroyed) All spirits you control get +1000BP until end of turn.								
Matchra	BS01	Matchra2.jpg	Common	Spirit	Green	3		Parasite	[LV1][LV2] (When Summoned) Your opponent discards one card.								
Gularva	BS01	Gularva2.jpg	Common	Spirit	Green	3		Parasite	[LV1][LV2] (Permanent) Each time one or more cores are put on this spirit due to the effect of a spirit, nexus, or spell, increase that number by one.								
Hercules-Geo	BS01	Hercules-geo2.jpg	Common	Spirit	Green	3		Giant Beast									
Shidafukurou	BS01	Shidafukurou2.jpg	Common	Spirit	Green	3		Winged Beast	[LV1][LV2] (Permanent) Each time your opponent Draws 1 or more cards, if this spirit is exhausted, refresh this spirit.								
Eagrass	BS01	Eagrass2.jpg	Common	Spirit	Green	3		Winged Beast	[LV2] (When Destroyed) All spirits you control get +2000BP until end of turn.								
Apewhip	BS01	Apewhip2.jpg	Rare	Spirit	Green	4		Imp	[LV1][LV2] (When Summoned) Gain 1 core in your Reserve.								
Hungrytree	BS01	Hungrytree2.jpg	Rare	Spirit	Green	4		Plant Spirit	[LV1][LV2] (When Destroyed) Your opponent discards 1 card.								
Emeraldscissor	BS01	Emeraldscissor2.jpg	Common	Spirit	Green	4		Parasite	[LV1][LV2] (When Summoned) Exhaust target unexhausted spirit your opponent controls.								
Ziga-Wasp	BS01	Ziga-wasp2.jpg	Common	Spirit	Green	4	High Speed (Swift)	Parasite	[LV1][LV2] High Speed (Flash) This spirit card may be summoned from your hand during the Flash Step. In that case, the cost of this spirit and the cores to be put on this spirit must be paid or moved from your reserve.								
Killikabut	BS01	Killikabut2.jpg	Common	Spirit	Green	4		Parasite	[LV1][LV2][LV3] (When Summoned) Gain 1 core on target spirit you control.								
Stagrove	BS01	Stagrove2.jpg	Uncommon	Spirit	Green	4		Imp	[LV2] (When Attacks) Gain 1 core on target spirit you control except this spirit.								
Swallowivy	BS01	Swallowivy2.jpg	Uncommon	Spirit	Green	5		Song Bird	[LV1][LV2] (When Summoned) Reveal the top 5 cards of your Deck. If there are 1 or more nexus cards among them, move 1 of them to your hand. Return the rest to the bottom of your Deck in any order.								
The BlastTiger Tigald	BS01	Tigald2.jpg	Uncommon	Spirit	Green	5	High Speed (Swift)	Blade Beast	[LV2] High Speed (Flash) This spirit card may be summoned from your hand during the Flash Step. In that case, the cost of this spirit and the cores to be put on this spirit must be paid or moved from your reserve.								
The AirMaster Aquilers	BS01	Aquilers2.jpg	Common	Spirit	Green	5		Winged Beast	[LV1][LV2] (When Summoned) Gain 1 core on target spirit you control.								
The MeteoriteArmor Monoqueiroz	BS01	Monoqueiroz2.jpg	Common	Spirit	Green	5		Shell Insect	[LV1][LV2] (When Summoned) All spirits you control get +2000BP until end of turn.								
The Charger Blanboar	BS01	Blanboar2.jpg	Rare	Spirit	Green	6		Blade Beast	[LV2] (During the Battle Phase) Each time this spirit defeats a spirit, if this spirit is exhausted, refresh this spirit.								
Gowsilvia	BS01	Gowsilvia2.jpg	Rare	Spirit	Green	6		Blade Beast	[LV2][LV3] (Permanent) This spirit gets +1000BP for each core in your reserve.								
The GaudyFeather Vulpelture	BS01	Vulpelture2.jpg	Master Rare	Spirit	Green	8	High Speed (Swift)	Winged Beast	[LV1][LV2] High Speed (Flash) This spirit card may be summoned from your hand during the Flash Step. In that case, the cost of this spirit and the cores to be put on this spirit must be paid or moved from your reserve.								
Berserker-Gun	BS01	Berserkergun2.jpg	Common	Spirit	White	1		Machine									
Icemaiden	BS01	Icemaiden2.jpg	Common	Spirit	White	1		Machine									
Ray-Bullet	BS01	Ray-bullet2.jpg	Common	Spirit	White	2		Flying Fish	"[LV1][LV2] (Permanent) While you control an ""Armored Dragon"" spirit, this spirit gets +1000 BP."								
Baby-Loki	BS01	Baby-loki2.jpg	Common	Spirit	White	2		Machine	[LV2] (When Blocks) This spirit gets +1000 BP until end of turn.								
The AutoLady Mani	BS01	Mani2.jpg	Common	Spirit	White	2		Ice Princess	[LV1][LV2][LV3] (When Attacks) Move 1 core from your trash to your reserve.								
Rainbowpapillon	BS01	Rainbowpapillon2.jpg	Common	Spirit	White	2		Glow Insect	[LV1][LV2] (Permanent) While you control a green spirit, this spirit gets +1000 BP.								
Fenrircannon	BS01	Fenrircannon2.jpg	Common	Spirit	White	3		Machine Beast	[LV1][LV2] (When Blocks) This spirit gets +1000BP until the end of the turn.								
The SilverScale Nithhoggr	BS01	Nithhoggr2.jpg	Common	Spirit	White	3		Armored Dragon, Armored Beast	[LV1][LV2] (When Blocks) This spirit gets +4000BP until end of turn.								
Ur-Dine	BS01	Ur-dine2.jpg	Common	Spirit	White	3		Evil Deity	[LV1][LV2] (When Attacks) Gain 1 core in your reserve.								
Rabicrysta	BS01	Rabicrysta2.jpg	Common	Spirit	White	3		Drifting Spirit	[LV1][LV2] (When Attacks) This spirit cannot be blocked by red spirits this turn.								
GatlingStand	BS01	GatlingStand2.jpg	Common	Spirit	White	3		Armed Machine									
Elephantite	BS01	Elephantite2.jpg	Uncommon	Spirit	White	4		Armored Beast	[LV1][LV2] (When Blocks) This spirit gets +2000BP until end of turn.								
Queen-Valkyrie	BS01	Queen-valkyrie2.jpg	Common	Spirit	White	4		Android	[LV1][LV2] (Permanent) This spirit is unaffected by the effects of the opponent's spirits and magic.								
Metaldy-Bug	BS01	Metaldy-bug2.jpg	Uncommon	Spirit	White	4		Glow Insect	[LV1][LV2] (When Summoned) Each player moves 1 core from a spirit they control to the trash.								
Towermittcrab	BS01	Towermittcrab2.jpg	Common	Spirit	White	4		Giant Beast	[LV1][LV2] (Permanent) This spirit gets +1000BP for each nexus you control.								
Dualcannon-Bell	BS01	Dualcannon-bell2.jpg	Common	Spirit	White	4		Android, Armed Machine									
Hell-Blindi	BS01	Hell-blindi2.jpg	Uncommon	Spirit	White	4		Android	[LV1][LV2] (When Summoned) Move target spirit to its owner's hand.								
The Artifact Laguna	BS01	Laguna2.jpg	Uncommon	Spirit	White	5		Android	[LV2] (Permanent) All white spirits you control get +1000 BP.								
The CarrierWhale Mobileflow	BS01	Mobileflow2.jpg	Common	Spirit	White	5		Flying Fish									
The ShieldSpirit Dis	BS01	Dis2.jpg	Master Rare	Spirit	White	5		Clown	[LV1][LV2] (During Your Battle Phase) Each time this spirit is blocked, exhaust target unexhausted spirit except the one blocking this spirit.	[LV2] (When Destroyed) Refresh target exhausted spirit you control.							
Gran-Dolbalkan	BS01	Gran-dolbalkan2.jpg	Rare	Spirit	White	5		Machine Beast	[LV1][LV2][LV3] (Flash Step) While this spirit is battling, you may move 1 core from your Reserve to your Trash. In that case, end this battle.								
The ArmoredBeast Bear-Gelmir	BS01	Bear-gelmir2.jpg	Master Rare	Spirit	White	8		Armored Beast	[LV1][LV2] (During Your Battle Phase) While your opponent controls no red spirits, this spirit cannot attack.	[LV2] (Permanent) All green spirits you control get +1000BP.							
The AutoEmpress Sol	BS01	Sol2.jpg	Rare	Spirit	White	8		Ice Princess	[LV1] (When Destroyed) If it's your opponent's turn, skip or end the battle phase of this turn.								
The SteelWyvern Valkyrious	BS01	Valkyrious2.jpg	Rare	Spirit	White	8		Machine Dragon	[LV1][LV2][LV3] (When Blocks) This spirit gets +6000BP until end of turn.								
The Burning Battlefield	BS01	Burningbattlefield2.jpg	Uncommon	Nexus	Red	3			[LV1][LV2] (During Your Battle Phase) All attacking spirits you control get +1000BP.	[LV2] (During Your Battle Phase) Your opponents must block your first attack this turn.							
The Canyon Where Sage lives	BS01	Canyonwhere2.jpg	Uncommon	Nexus	Red	4			[LV1] (Your Draw Step) Draw 1 card. Then, discard 1 card.	[LV2] (Your Draw Step) Draw 1 card.							
The Ruby Sun	BS01	Rubysun2.jpg	Common	Nexus	Red	5			[LV1][LV2] (Permanent) All white cards cost 1 more to play.	[LV2] (Permanent) Each time the number of cores on a white spirit changes except due to the effect of a spirit, nexus, or spell, exhaust that spirit.							
The Ancient Dragon Territory	BS01	Dragonterritory2.jpg	Common	Nexus	Red	6			[LV1][LV2] (During Your Turn) Each time a spirit is destroyed, move the cores on that spirit to its owner's trash instead of the reserve.	[LV2] (During Your Battle Phase) Each time a spirit you control defeats a spirit, Draw 1 card.							
The Lost of Old Castle	BS01	Lostofold2.jpg	Common	Nexus	Purple	4			[LV1][LV2] (Permanent) All purple spirits you control get +1000BP.	[LV2] (Your Start Step) If the number of card in your hand is less than or equal to the number of cards in your opponent's hand, Draw 1 card.							
The Swamp of Drain Life	BS01	Drainlife2.jpg	Uncommon	Nexus	Purple	5			[LV1][LV2] (Your Start Step) Move all cores in your opponent's Reserve to their Trash.	[LV2] (Your Start Step) Exhaust target unexhausted spirit your opponent controls.							
The Historic Battlefield of the Cursed	BS01	Historicbattlefield2.jpg	Rare	Nexus	Purple	6			[LV1][LV2] (Permanent) Each time a spirit your opponent controls is exhausted, Draw 1 card.	[LV2] (During Your Battle Phase) You may move 1 core from this nexus to your Trash. In that case, at end of battle, destroy target spirit that blocked this battle.							
The Shackles of Doom	BS01	Shacklesofdoom2.jpg	Uncommon	Nexus	Purple	6			[LV1][LV2] (During the Battle Phase) All spirits with only 1 core on them cannot attack or block.	[LV2] (During the Battle Phase) Each time a spirit attacks, its controller must move 1 core from that spirit to its owner's trash.							
The Hermit Wise Tree	BS01	Hermitwise2.jpg	Rare	Nexus	Green	4			[LV1][LV2] (During the Battle Phase) All attacking and blocking spirits you control get +1000BP for each exhausted spirit you control.	[LV2] (Your End Phase) Refresh all exhausted spirits you control.							
The Fruit of Life	BS01	Fruitoflife2.jpg	Uncommon	Nexus	Green	4			[LV1][LV2] (Permanent) Each time any damage is dealt to your Life due to a card your opponent controls, Draw 1 card.	[LV2] (Permanent) Each time any damage is dealt to your Life due to a card your opponent controls, gain 1 core in your Reserve.							
The Anthill	BS01	Anthill2.jpg	Uncommon	Nexus	Green	5			[LV1][LV2] (During Opponent's Battle Phase) Each time a spirit you control defeats a spirit, refresh the spirit that blocked in that battle.	[LV2] (During Your Battle Phase) Each time a spirit you control defeats a spirit, refresh the spirit that attacked in that battle.							
The Hill of Violent Wind	BS01	Violentwind2.jpg	Common	Nexus	Green	5			[LV1][LV2] (Opponent's Start Step) Refresh target exhausted spirit you control with High Speed.	[LV2] (Permanent) Each time you summon a spirit it gets +1000BP until end of turn.							
The Timeless Ice Field	BS01	Timelessice2.jpg	Uncommon	Nexus	White	3			[LV1][LV2] (During Opponent's Battle Phase) All blocking spirits you control get +1000BP.	[LV2] (Opponent's Start Step) Target spirit your opponent controls must attack this turn.							
The Diamond Moon	BS01	Diamondmoon3.jpg	Common	Nexus	White	5			[LV1][LV2] (During the Battle Phase) Each time a spirit you control battles a red spirit, that spirit you control gets +1000 BP until end of turn.	[LV2] (During the Battle Phase) Each time a red spirit your opponent controls battles a spirit you control, the red spirit is destroyed at end of battle.							
The Castle of Eternal Snow	BS01	Eternalsnow2.jpg	Uncommon	Nexus	White	5			[LV1][LV2] (Your Start Step) Move target nexus your opponent controls to its owner's hand.	[LV2] (Your Start Step) Move target spirit to its owner's hand.							
The Invaded Silver Snow	BS01	Invadedsilver2.jpg	Common	Nexus	White	5			[LV1][LV2] (Opponent's Battle Phase) At start of Phase, move all cores in your Trash to your Reserve.	[LV2] (During Opponent's Battle Phase) Each time a spirit you control is destroyed, gain 1 core in your reserve.							
Buster Spear	BS01	Busterspear2.jpg	Rare	Magic	Red	3			(Flash Step)(Your Main Phase) Destroy target nexus. If you destroyed a nexus your opponent controls, Draw 1 card.								
Awaken	BS01	Awaken2.jpg	Common	Magic	Red	3			(Flash Step)(Your Main Phase) Move 3 cores from your Reserve to target spirit you control, then Draw 1 card.								
Offensive Aura	BS01	Offensiveaura2.jpg	Common	Magic	Red	4			(Flash Step)(Your Main Phase) All attacking spirits you control get +2000BP until end of turn.								
Double Draw	BS01	Doubledraw2.jpg	Common	Magic	Red	4			(Your Main Phase) Draw 2 cards.	(Flash Step)(Your Main Phase) Target spirit gets +2000BP until end of turn.							
Call of Lost	BS01	Calloflost2.jpg	Common	Magic	Red	4			(Your Main Phase) Move target spirit card from your Trash to your hand.	(Flash Step)(Your Main Phase) Target spirit gets +2000BP until end of turn.							
Burst Fire	BS01	Burstfire2.jpg	Common	Magic	Red	4			"(Flash Step)(Your Main Phase) Negate the ""This spirit cannot block"" effect of target spirit until end of turn."								
Buster Phalanx	BS01	Busterphalanx2.jpg	Uncommon	Magic	Red	5			(Your Main Phase) Destroy all nexuses.	(Flash Step)(Your Main Phase) Target spirit gets +4000BP until end of turn.							
Flame Dance	BS01	Flamedance2.jpg	Common	Magin	Red	5			(Flash Step)(Your Main Phase) Destroy target spirit with 4000BP or less.								
Flame Tempest	BS01	Flametempest2.jpg	Rare	Magic	Red	6			(Flash Step)(Your Main Phase) Destroy all spirits with 3000 BP or less.								
Return Draw	BS01	ReturnDraw2.jpg	Common	Magic	Purple	2			(Your Main Phase) During this turn, each time a spirit you control is moved to your hand, Draw 1 card.	(Flash Step)(Your Main Phase) Target spirit gets +1000BP until end of turn.							
Evil Aura	BS01	Evilaura2.jpg	Uncommon	Magic	Purple	3			(Flash Step) Gain 4 cores on target spirit. At end of turn, remove a total of 4 cores from cards you control, your Reserve, and/or your Trash. This effect cannot be used in your Main Phase.								
Deadly Balance	BS01	Deadlybalance2.jpg	Common	Magic	Purple	3			(Flash Step)(Your Main Phase) Each player destroys 1 spirit they control.								
Shadow Elixir	BS01	Shadowelixir2.jpg	Uncommon	Magic	Purple	4			(Flash Step)(Your Main Phase) Move 1 core from your reserve to your life.								
Killer Telescope	BS01	Killertelescope2.jpg	Common	Magic	Purple	4			(Your Main Phase) During this turn, spirits you control may attack exhausted spirits your opponent's control.	(Flash Step)(Your Main Phase) Target spirit gets +2000BP until end of turn.							
Chaos Draw	BS01	ChaosDraw2.jpg	Rare	Magic	Purple	5			(Your Main Phase) Draw 1 card for each exhausted spirit your opponent controls.	(Flash Step)(Your Main Phase) Target spirit gets +3000BP until end of turn.							
Poison Shoot	BS01	Poisonshoot2.jpg	Common	Magic	Purple	5			(Flash Step)(Your Main Phase) Move 1 core from target spirit to its owner's Reserve.								
Changing Cores	BS01	Changingcore2.jpg	Common	Magic	Purple	5			(Your Main Phase) Move all but 1 core from target spirit to other spirits that have the same controller as it.	(Flash Step)(Your Main Phase) Target spirit gets +3000BP until end of turn.							
Dark Coffin	BS01	Darkcoffin2.jpg	Common	Magic	Purple	7			(Your Main Phase) Destroy target exhausted spirit.	(Flash Step)(Your Main Phase) Target spirit gets +4000BP until end of turn							
Storm Draw	BS01	StormDraw2.jpg	Common	Magic	Green	2			(Your Main Phase) Draw 3 cards, then discard 2 cards.	(Flash Step)(Your Main Phase) Target spirit gets +3000BP until end of turn.							
Wild Power	BS01	Wildpower2.jpg	Common	Magic	Green	2			(Flash Step)(Your Main Phase) Target spirit gets +2000BP until end of turn.								
Binding Thorn	BS01	Bindingthorn2.jpg	Common	Magic	Green	2			(Flash Step)(Your Main Phase) Exhaust target unexhausted spirit your opponent controls.								
Power Aura	BS01	Poweraura2.jpg	Common	Magic	Green	3			(Your Main Phase) Gain 1 core in your reserve.	(Flash Step)(Your Main Phase) Target spirit gets +1000BP until end of turn.							
Gather Forces	BS01	Gatherforces2.jpg	Uncommon	Magic	Green	3			(Your Main Phase) Gain 1 core in your reserve.	(Flash Step)(Your Main Phase) Target spirit gets +1000BP until end of turn.							
Relation Soul	BS01	Relationsoul2.jpg	Common	Magic	Green	4			(Flash Step)(Your Main Phase) Target spirit gets +1000 BP for each exhausted spirit your opponent controls until end of turn.								
Hand Reverse	BS01	Handreverse2.jpg	Uncommon	Magic	Green	5			(Your Main Phase) Discard your entire hand. Then, Draw until you have the same number of cards in your hand as your opponent does in their hand.	(Flash Step)(Your Main Phase) Target spirit gets +3000BP until end of turn.							
Feather Barrier	BS01	Featherbarrier2.jpg	Common	Magic	Green	5			(Flash Step)(Your Main Phase) Target blocking spirit you control is unaffected by the effects of cards your opponent controls.								
Binding Woods	BS01	Bindingwoods2.jpg	Rare	Magic	Green	7			(Your Main Phase) Select 1 color. Then, exhaust all unexhausted spirits with the selected color.	(Flash Step)(Your Main Phase) Target spirit gets +5000BP until end of turn.							
Invisible Cloak	BS01	Invisiblecloak2.jpg	Rare	Magic	White	3			(Flash Step)(Your Main Phase) Target spirit cannot be blocked this turn.								
Pure Elixir	BS01	Pureelixir2.jpg	Common	Magic	White	3			(Flash Step)(Your Main Phase) Refresh all exhausted spirits you control. Those spirits cannot attack this turn.								
Divine Chain	BS01	Divinechain2.jpg	Rare	Magic	White	3			(Flash Step) Your opponent cannot play any cards from their hand until End of Battle Step of this battle. This effect cannot be used in your main phase.								
Silent Wall	BS01	Silentwall2.jpg	Uncommon	Magic	White	4			(Flash Step) After this battle, end this Battle Phase. This effect cannot be used in your Main Phase.								
Defensive Aura	BS01	Defensiveaura2.jpg	Common	Magic	White	4			(Flash Step)(Your Main Phase) All blocking spirits you control get +3000BP until end of turn.								
Dream Ribbon	BS01	Dreamribbon2.jpg	Common	Magic	White	4			(Flash Step)(Your Main Phase) Move target spirit your opponent controls to its owner's hand.								
Dream Chest	BS01	Dreamchest2.jpg	Common	Magic	White	5			(Flash Step)(Your Main Phase) Move target spirit to the top of its owner's deck.								
Leak Drive	BS01	Leakdrive2.jpg	Common	Magic	White	6			(Flash Step) End this battle. This effect cannot be used in your Main Phase.								
Attack Shift	BS01	Attackshift2.jpg	Common	Magic	White	7			(Your Main Phase) (When Blocks) effects are changed to (When Attacks) effects until the end of this turn.	(Flash Step)(Your Main Phase) Target spirit gets +3000BP until end of turn.							
The DragonEmperor Siegfried	BS01	Siegfried2.jpg	X Rare	Spirit	Red	6	Evolution (Awaken)	Ancient Dragon	[LV1][LV2][LV3] Flash Evolution - You may move any number of cores from spirits you control to this spirit.	[LV3] (When Destroyed) Gain 1 life.							
The SevenShogun Desperado	BS01	Desperado2.jpg	X Rare	Spirit	Purple	8		Nightling, Ogre Wizard	[LV1][LV2] (When Summoned) Move 1 core from all other spirits to their owner's Reserve. Gain core on this spirit equal to the number of spirits depleted due to this effect.	[LV2] (When Attacks) Move all but 1 core from target spirit to its owner's reserve.							
The Duke Kingtaurus	BS01	Kingtaurus2.jpg	X Rare	Spirit	Green	8		Shell Insect, Blade Beast	[LV1][LV2][LV3] (When Summoned) Gain 1 core on this spirit for each other spirit you control.	[LV2][LV3] (During Your Battle Phase) Each time this spirit defeats a spirit, deal 1 damage to your opponent's Life.							
The ImpregnableFortress Odin	BS01	Odin2.jpg	X Rare	Spirit	White	6		Machine	[LV1][LV2][LV3] (Permanent) This Spirit gets +1000BP for each nexus.	[LV2][LV3] (Permanent) Nexuses cannot be destroyed.							
